predict case 0 , predict result/given label= 0.924341/1
predict case 1 , predict result/given label= 0.180272/1
predict case 2 , predict result/given label= 0.082951/1
predict case 3 , predict result/given label= 0.071767/1
predict case 4 , predict result/given label= 0.447779/1
predict case 5 , predict result/given label= 0.331205/1
predict case 6 , predict result/given label= 0.172489/1
predict case 7 , predict result/given label= 0.895827/1
predict case 8 , predict result/given label= 0.628611/1
predict case 9 , predict result/given label= 0.075376/1
predict case 10 , predict result/given label= 0.833768/1
predict case 11 , predict result/given label= 0.537352/1
predict case 12 , predict result/given label= 0.692245/1
predict case 13 , predict result/given label= 0.576149/1
predict case 14 , predict result/given label= 0.929107/1
predict case 15 , predict result/given label= 0.086998/1
predict case 16 , predict result/given label= 0.385643/1
predict case 17 , predict result/given label= 0.524878/1
predict case 18 , predict result/given label= 0.074018/1
predict case 19 , predict result/given label= 0.072217/1
predict case 20 , predict result/given label= 0.773500/1
predict case 21 , predict result/given label= 0.431732/1
predict case 22 , predict result/given label= 0.343372/1
predict case 23 , predict result/given label= 0.906588/1
predict case 24 , predict result/given label= 0.549472/1
predict case 25 , predict result/given label= 0.070473/1
predict case 26 , predict result/given label= 0.073999/1
predict case 27 , predict result/given label= 0.892919/1
predict case 28 , predict result/given label= 0.102781/1
predict case 29 , predict result/given label= 0.554487/1
predict case 30 , predict result/given label= 0.274369/1
predict case 31 , predict result/given label= 0.705908/1
predict case 32 , predict result/given label= 0.089266/1
predict case 33 , predict result/given label= 0.431113/1
predict case 34 , predict result/given label= 0.536665/1
predict case 35 , predict result/given label= 0.174122/1
predict case 36 , predict result/given label= 0.601151/1
predict case 37 , predict result/given label= 0.575176/1
predict case 38 , predict result/given label= 0.563332/1
predict case 39 , predict result/given label= 0.893120/1
predict case 40 , predict result/given label= 0.478294/1
predict case 41 , predict result/given label= 0.534370/1
predict case 42 , predict result/given label= 0.683362/1
predict case 43 , predict result/given label= 0.151044/0
predict case 44 , predict result/given label= 0.389043/0
predict case 45 , predict result/given label= 0.127390/0
predict case 46 , predict result/given label= 0.862442/0
predict case 47 , predict result/given label= 0.555293/0
predict case 48 , predict result/given label= 0.379450/0
predict case 49 , predict result/given label= 0.073993/0
predict case 50 , predict result/given label= 0.070457/0
predict case 51 , predict result/given label= 0.070432/0
predict case 52 , predict result/given label= 0.556518/0
predict case 53 , predict result/given label= 0.083196/0
predict case 54 , predict result/given label= 0.395831/0
predict case 55 , predict result/given label= 0.074326/0
predict case 56 , predict result/given label= 0.262460/0
predict case 57 , predict result/given label= 0.149543/0
predict case 58 , predict result/given label= 0.122533/0
predict case 59 , predict result/given label= 0.389328/0
predict case 60 , predict result/given label= 0.070117/0
predict case 61 , predict result/given label= 0.549659/0
predict case 62 , predict result/given label= 0.336247/0
predict case 63 , predict result/given label= 0.877494/0
predict case 64 , predict result/given label= 0.206285/0
predict case 65 , predict result/given label= 0.172460/0
predict case 66 , predict result/given label= 0.549637/0
predict case 67 , predict result/given label= 0.275214/0
predict case 68 , predict result/given label= 0.862128/0
predict case 69 , predict result/given label= 0.785401/0
predict case 70 , predict result/given label= 0.245368/0
predict case 71 , predict result/given label= 0.286509/0
predict case 72 , predict result/given label= 0.511707/0
predict case 73 , predict result/given label= 0.584876/0
predict case 74 , predict result/given label= 0.412445/0
predict case 75 , predict result/given label= 0.070471/0
predict case 76 , predict result/given label= 0.105172/0
predict case 77 , predict result/given label= 0.340869/0
predict case 78 , predict result/given label= 0.282402/0
predict case 79 , predict result/given label= 0.491541/0
predict case 80 , predict result/given label= 0.244823/0
predict case 81 , predict result/given label= 0.328277/0
predict case 82 , predict result/given label= 0.284360/0
predict case 83 , predict result/given label= 0.403734/0
predict case 84 , predict result/given label= 0.312281/0
predict case 85 , predict result/given label= 0.929475/0
