predict case 0 , predict result/given label= 0.070302/1
predict case 1 , predict result/given label= 0.071886/1
predict case 2 , predict result/given label= 0.062597/1
predict case 3 , predict result/given label= 0.406886/1
predict case 4 , predict result/given label= 0.276032/1
predict case 5 , predict result/given label= 0.066519/1
predict case 6 , predict result/given label= 0.582012/1
predict case 7 , predict result/given label= 0.060953/1
predict case 8 , predict result/given label= 0.066815/1
predict case 9 , predict result/given label= 0.328353/1
predict case 10 , predict result/given label= 0.072870/1
predict case 11 , predict result/given label= 0.066549/1
predict case 12 , predict result/given label= 0.067895/1
predict case 13 , predict result/given label= 0.065167/1
predict case 14 , predict result/given label= 0.129533/1
predict case 15 , predict result/given label= 0.380026/1
predict case 16 , predict result/given label= 0.064821/1
predict case 17 , predict result/given label= 0.339428/1
predict case 18 , predict result/given label= 0.067812/1
predict case 19 , predict result/given label= 0.139690/1
predict case 20 , predict result/given label= 0.070705/1
predict case 21 , predict result/given label= 0.063157/1
predict case 22 , predict result/given label= 0.064992/1
predict case 23 , predict result/given label= 0.061153/1
predict case 24 , predict result/given label= 0.403351/1
predict case 25 , predict result/given label= 0.059531/1
predict case 26 , predict result/given label= 0.064553/1
predict case 27 , predict result/given label= 0.423195/1
predict case 28 , predict result/given label= 0.071593/1
predict case 29 , predict result/given label= 0.064467/1
predict case 30 , predict result/given label= 0.065342/1
predict case 31 , predict result/given label= 0.060336/1
predict case 32 , predict result/given label= 0.069156/1
predict case 33 , predict result/given label= 0.500768/1
predict case 34 , predict result/given label= 0.342227/1
predict case 35 , predict result/given label= 0.073254/1
predict case 36 , predict result/given label= 0.075814/1
predict case 37 , predict result/given label= 0.476041/1
predict case 38 , predict result/given label= 0.161852/1
predict case 39 , predict result/given label= 0.302554/1
predict case 40 , predict result/given label= 0.133694/1
predict case 41 , predict result/given label= 0.071254/0
predict case 42 , predict result/given label= 0.374032/0
predict case 43 , predict result/given label= 0.126306/0
predict case 44 , predict result/given label= 0.064728/0
predict case 45 , predict result/given label= 0.059509/0
predict case 46 , predict result/given label= 0.069976/0
predict case 47 , predict result/given label= 0.332996/0
predict case 48 , predict result/given label= 0.061045/0
predict case 49 , predict result/given label= 0.069335/0
predict case 50 , predict result/given label= 0.411980/0
predict case 51 , predict result/given label= 0.069976/0
predict case 52 , predict result/given label= 0.369758/0
predict case 53 , predict result/given label= 0.073785/0
predict case 54 , predict result/given label= 0.349119/0
predict case 55 , predict result/given label= 0.072442/0
predict case 56 , predict result/given label= 0.412489/0
predict case 57 , predict result/given label= 0.711880/0
predict case 58 , predict result/given label= 0.063610/0
predict case 59 , predict result/given label= 0.288932/0
predict case 60 , predict result/given label= 0.069686/0
predict case 61 , predict result/given label= 0.090368/0
predict case 62 , predict result/given label= 0.379502/0
predict case 63 , predict result/given label= 0.069706/0
predict case 64 , predict result/given label= 0.063192/0
predict case 65 , predict result/given label= 0.377917/0
predict case 66 , predict result/given label= 0.674202/0
predict case 67 , predict result/given label= 0.106710/0
predict case 68 , predict result/given label= 0.128319/0
predict case 69 , predict result/given label= 0.062838/0
predict case 70 , predict result/given label= 0.057559/0
predict case 71 , predict result/given label= 0.330240/0
predict case 72 , predict result/given label= 0.069664/0
predict case 73 , predict result/given label= 0.150590/0
predict case 74 , predict result/given label= 0.138901/0
predict case 75 , predict result/given label= 0.065150/0
predict case 76 , predict result/given label= 0.101520/0
predict case 77 , predict result/given label= 0.070025/0
predict case 78 , predict result/given label= 0.067487/0
predict case 79 , predict result/given label= 0.063965/0
predict case 80 , predict result/given label= 0.282704/0
predict case 81 , predict result/given label= 0.060995/0
